tickerId,unSymbol,symbol,direction,strikePrice,Ask_Price,Ask_Volume,Bid_Price,Bid_Volume,expireDate,tradeTime,tradeStamp,impVol,volume,close,preClose,open,high,low,delta,vega,gamma,theta,rho,changeRatio,change,weekly,activeLevel,openIntChange
1019265092,VXX,VXX210401P00019500,put,19.5,6.35,30,6.25,20,2021-04-01,2021-03-26T17:25:02.000+0000,1617028228255,,0,7.90,7.90,,,,-0.9910,0.0003,0.0104,-0.0070,-0.0021,0.0000,0.00,1,15,0.0
1019265099,VXX,VXX210401C00020000,call,20,6.35,30,6.25,20,2021-04-01,2021-03-29T14:29:26.867+0000,1617028227750,1.4591,18905,0.06,0.03,0.03,0.07,0.03,0.0120,0.0004,0.0122,-0.0099,0.0000,1.0000,0.03,1,16,910.0
1019265094,VXX,VXX210401P00020000,put,20,6.35,30,6.25,20,2021-04-01,2021-03-29T14:08:29.754+0000,1617028228447,,56,7.85,8.00,7.90,7.90,7.85,-0.9917,0.0003,0.0094,-0.0068,-0.0022,-0.0188,-0.15,1,16,0.0
1019265105,VXX,VXX210401C00020500,call,20.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:19:52.999+0000,1617028230479,1.4863,229,0.05,0.03,0.03,0.05,0.03,0.0113,0.0004,0.0112,-0.0098,0.0000,0.6667,0.02,1,17,58.0
1019265097,VXX,VXX210401P00020500,put,20.5,6.35,30,6.25,20,2021-04-01,2021-03-26T17:00:39.000+0000,1617028226490,,0,8.85,8.85,,,,-0.9825,0.0006,0.0152,-0.0153,-0.0022,0.0000,0.00,1,17,-5.0
1019265100,VXX,VXX210401C00021000,call,21,6.35,30,6.25,20,2021-04-01,2021-03-29T14:15:05.890+0000,1617028230432,1.5449,178,0.04,0.03,0.03,0.06,0.03,0.0125,0.0004,0.0115,-0.0113,0.0000,0.3333,0.01,1,18,-1.0
1019265098,VXX,VXX210401P00021000,put,21,6.35,30,6.25,20,2021-04-01,2021-03-26T18:59:22.000+0000,1617028231019,,0,8.92,8.92,,,,-0.9835,0.0005,0.0140,-0.0150,-0.0023,0.0000,0.00,1,18,2.0
1019265101,VXX,VXX210401C00021500,call,21.5,6.35,30,6.25,20,2021-04-01,2021-03-29T14:22:16.008+0000,1617028223271,1.5705,160,0.05,0.03,0.03,0.05,0.03,0.0088,0.0003,0.0086,-0.0083,0.0000,0.6667,0.02,1,19,11.0
1019265093,VXX,VXX210401P00021500,put,21.5,6.35,30,6.25,20,2021-04-01,2021-03-26T14:37:22.000+0000,1617028231019,,0,9.70,9.70,,,,-0.9844,0.0005,0.0129,-0.0147,-0.0023,0.0000,0.00,1,19,1.0
1019265096,VXX,VXX210401C00022000,call,22,6.35,30,6.25,20,2021-04-01,2021-03-29T13:57:26.353+0000,1617028201466,1.6111,12,0.03,0.02,0.02,0.03,0.02,0.0085,0.0003,0.0081,-0.0083,0.0000,0.5000,0.01,1,20,7.0
1019265102,VXX,VXX210401P00022000,put,22,6.35,30,6.25,20,2021-04-01,2021-03-26T17:28:08.000+0000,1617028225416,,0,10.40,10.40,,,,-0.9852,0.0005,0.0120,-0.0145,-0.0024,0.0000,0.00,1,20,0.0
1019265103,VXX,VXX210401C00022500,call,22.5,6.35,30,6.25,20,2021-04-01,2021-03-29T13:53:33.581+0000,1617028227793,1.6509,4,0.02,0.01,0.02,0.02,0.02,0.0056,0.0002,0.0057,-0.0057,0.0000,1.0000,0.01,1,21,-1.0
1019265104,VXX,VXX210401P00022500,put,22.5,6.35,30,6.25,20,2021-04-01,2021-03-26T19:42:09.000+0000,1617028229964,,0,10.52,10.52,,,,-0.9942,0.0002,0.0058,-0.0057,-0.0025,0.0000,0.00,1,21,25.0
1019321017,VXX,VXX210401C00023000,call,23,6.35,30,6.25,20,2021-04-01,2021-03-26T19:57:34.000+0000,1617028227772,1.7024,0,0.02,0.02,,,,0.0077,0.0003,0.0070,-0.0080,0.0000,0.0000,0.00,1,22,465.0
1019321016,VXX,VXX210401P00023000,put,23,6.35,30,6.25,20,2021-04-01,2021-03-29T13:33:48.496+0000,1617028225416,,1,11.00,10.92,11.00,11.00,11.00,-0.9946,0.0002,0.0054,-0.0056,-0.0025,0.0073,0.08,1,22,-342.0
1019321030,VXX,VXX210401C00024000,call,24,6.35,30,6.25,20,2021-04-01,2021-03-26T19:31:27.000+0000,1617028228255,1.7289,0,0.02,0.02,,,,0.0048,0.0002,0.0046,-0.0053,0.0000,0.0000,0.00,1,23,166.0
1019321023,VXX,VXX210401P00024000,put,24,6.35,30,6.25,20,2021-04-01,2021-03-26T15:54:18.000+0000,1617028228061,,0,12.32,12.32,,,,-0.9874,0.0004,0.0094,-0.0140,-0.0026,0.0000,0.00,1,23,0.0
1019321022,VXX,VXX210401C00025000,call,25,6.35,30,6.25,20,2021-04-01,2021-03-29T14:28:00.834+0000,1617028225522,1.8132,106,0.02,0.02,0.02,0.03,0.02,0.0062,0.0002,0.0053,-0.0072,0.0000,0.0000,0.00,1,24,285.0
1019321026,VXX,VXX210401P00025000,put,25,6.35,30,6.25,20,2021-04-01,2021-03-26T19:09:58.000+0000,1617028228475,,0,12.90,12.90,,,,-0.9955,0.0002,0.0041,-0.0052,-0.0027,0.0000,0.00,1,24,33.0
