,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2011-03-21,163.3699951171875,165.7899932861328,161.72000122070312,164.52000427246094,164.52000427246094,4055100,AMZN,163.75969,184.0399932861328,-0.76031494140625,0.0
2011-03-25,171.63999938964844,173.49000549316406,170.3000030517578,170.97999572753906,170.97999572753906,4293800,AMZN,173.56432,180.00999450683594,2.584320068359375,0.0
2011-04-01,181.5800018310547,183.25,178.58999633789062,180.1300048828125,180.1300048828125,5684100,AMZN,180.60358,185.4199981689453,0.47357177734375,0.0
2011-04-04,180.88999938964844,183.61000061035156,180.69000244140625,182.94000244140625,182.94000244140625,4186400,AMZN,183.08202,182.3000030517578,0.0,-0.1420135498046875
2011-04-08,185.25999450683594,186.22000122070312,182.77999877929688,184.7100067138672,184.7100067138672,3726400,AMZN,188.16957,201.19000244140625,3.459564208984375,0.0
2011-04-12,183.05999755859375,184.58999633789062,179.4199981689453,180.47999572753906,180.47999572753906,5334500,AMZN,186.36417,199.97000122070312,5.8841705322265625,0.0
2011-04-18,178.3800048828125,178.91000366210938,175.3699951171875,178.33999633789062,178.33999633789062,4616500,AMZN,181.74661,203.94000244140625,3.4066162109375,0.0
2011-04-20,181.6199951171875,185.0,181.58999633789062,183.8699951171875,183.8699951171875,4067500,AMZN,189.56174,206.07000732421875,5.691741943359375,0.0
2011-04-29,194.3800048828125,196.58999633789062,193.77999877929688,195.80999755859375,195.80999755859375,6640900,AMZN,197.63571,198.64999389648438,1.825714111328125,0.0
2011-05-03,201.0,202.58999633789062,196.69000244140625,198.4499969482422,198.4499969482422,6100000,AMZN,201.0497,193.27000427246094,0.0,-2.599700927734375
2011-05-20,197.9499969482422,199.8000030517578,197.24000549316406,198.64999389648438,198.64999389648438,3381000,AMZN,202.60985,186.2899932861328,0.0,-3.9598541259765625
2011-05-23,195.55999755859375,197.2899932861328,192.02000427246094,196.22000122070312,196.22000122070312,4200000,AMZN,196.87556,189.9600067138672,0.0,-0.6555633544921875
2011-05-24,197.0,197.0,193.0,193.27000427246094,193.27000427246094,2972700,AMZN,198.38013,185.97999572753906,0.0,-5.1101226806640625
2011-05-25,193.57000732421875,194.35000610351562,191.13999938964844,192.25999450683594,192.25999450683594,4661300,AMZN,198.48428,183.64999389648438,0.0,-6.2242889404296875
2011-06-06,188.00999450683594,189.85000610351562,185.17999267578125,185.69000244140625,185.69000244140625,3716000,AMZN,189.88818,201.25,4.19818115234375,0.0
2011-06-16,185.74000549316406,187.0,181.58999633789062,183.64999389648438,183.64999389648438,6032100,AMZN,183.67464,218.27999877929688,0.0246429443359375,0.0
2011-06-17,186.50999450683594,187.38999938964844,184.63999938964844,186.3699951171875,186.3699951171875,6322200,AMZN,185.78123,212.5500030517578,-0.5887603759765625,0.0
2011-06-21,188.3000030517578,195.0,187.1199951171875,194.22999572753906,194.22999572753906,4182600,AMZN,194.41939,213.5,0.18939208984375,0.0
2011-06-23,189.5,194.4600067138672,188.3000030517578,194.16000366210938,194.16000366210938,4609600,AMZN,192.06586,212.8699951171875,-2.094146728515625,0.0
2011-07-27,224.38999938964844,227.1999969482422,219.6199951171875,222.52000427246094,222.52000427246094,12955600,AMZN,225.87848,195.92999267578125,0.0,-3.3584747314453125
2011-08-09,196.6999969482422,205.08999633789062,190.4600067138672,205.08999633789062,205.08999633789062,10491200,AMZN,201.43375,210.9199981689453,-3.65625,0.0
2011-08-11,197.00999450683594,200.85000610351562,191.36000061035156,198.36000061035156,198.36000061035156,7401900,AMZN,198.18251,212.5399932861328,-0.177490234375,0.0
2011-08-15,202.05999755859375,205.27999877929688,198.32000732421875,202.9499969482422,202.9499969482422,4785900,AMZN,203.7548,216.17999267578125,0.8048095703125,0.0
2011-08-18,191.2100067138672,191.33999633789062,179.72000122070312,182.52000427246094,182.52000427246094,8275200,AMZN,181.94516,211.38999938964844,-0.5748443603515625,0.0
2011-09-02,208.94000244140625,210.69000244140625,207.0,210.0,210.0,4232000,AMZN,207.33487,229.85000610351565,-2.665130615234375,0.0
2011-09-15,223.99000549316406,227.1999969482422,221.25,226.77999877929688,226.77999877929688,5608800,AMZN,229.29755,221.50999450683594,0.0,-2.517547607421875
2011-09-23,220.50999450683594,224.49000549316406,219.05999755859375,223.61000061035156,223.61000061035156,6468100,AMZN,226.73567,246.7100067138672,3.12567138671875,0.0
2011-09-30,218.19000244140625,223.0,215.2100067138672,216.22999572753906,216.22999572753906,6550300,AMZN,224.15482,234.77999877929688,7.9248199462890625,0.0
2011-10-03,217.00999450683594,221.60000610351562,211.38999938964844,211.97999572753906,211.97999572753906,6624400,AMZN,220.8188,237.61000061035156,8.83880615234375,0.0
2011-11-02,215.5500030517578,216.7899932861328,212.72000122070312,215.6199951171875,215.6199951171875,6122000,AMZN,209.63683,188.99000549316406,0.0,5.9831695556640625
2011-11-04,217.64999389648438,218.22999572753906,214.3300018310547,216.47999572753906,216.47999572753906,4065800,AMZN,219.65965,194.14999389648438,0.0,-3.179656982421875
2011-11-11,212.52000427246094,217.8800048828125,210.30999755859375,217.38999938964844,217.38999938964844,5163100,AMZN,217.30551,196.24000549316406,0.0,0.0844879150390625
2011-11-15,218.0,220.3300018310547,214.25999450683594,217.8300018310547,217.8300018310547,5739000,AMZN,219.41742,195.32000732421875,0.0,-1.5874176025390625
2011-11-22,186.9499969482422,194.0399932861328,183.5800018310547,192.33999633789062,192.33999633789062,9915600,AMZN,188.66199,180.2100067138672,0.0,3.678009033203125
2011-11-25,190.41000366210938,190.8300018310547,181.50999450683594,182.39999389648438,182.39999389648438,4972000,AMZN,187.55367,181.25999450683594,0.0,-5.1536712646484375
2011-11-29,194.77999877929688,195.5,187.3000030517578,188.38999938964844,188.38999938964844,6575100,AMZN,193.34213,182.52000427246094,0.0,-4.9521331787109375
2011-12-13,188.55999755859375,189.67999267578125,178.5,180.50999450683594,180.50999450683594,9297300,AMZN,183.5108,177.61000061035156,0.0,-3.0008087158203125
2011-12-20,182.69000244140625,183.1699981689453,180.5399932861328,182.52000427246094,182.52000427246094,4600100,AMZN,180.59811,175.92999267578125,0.0,1.9218902587890625
2011-12-22,175.08999633789062,179.6699981689453,174.2100067138672,179.02999877929688,179.02999877929688,4694900,AMZN,177.76076,181.66000366210938,-1.2692413330078125,0.0
2012-01-11,179.63999938964844,180.77000427246094,178.19000244140625,178.89999389648438,178.89999389648438,3102700,AMZN,179.12473,181.72000122070312,0.2247314453125,0.0
2012-01-31,194.0,195.6300048828125,189.6999969482422,194.44000244140625,194.44000244140625,12772200,AMZN,195.95381,180.5800018310547,0.0,-1.5138092041015625
2012-02-16,177.7899932861328,181.67999267578125,175.13999938964844,179.92999267578125,179.92999267578125,12563800,AMZN,177.56174,184.32000732421875,-2.368255615234375,0.0
2012-02-24,179.6999969482422,180.74000549316406,178.3699951171875,179.1300048828125,179.1300048828125,3668700,AMZN,180.51418,185.0500030517578,1.3841705322265625,0.0
2012-02-28,178.89999389648438,184.2899932861328,177.9499969482422,183.8000030517578,183.8000030517578,5764500,AMZN,184.20392,192.3300018310547,0.4039154052734375,0.0
2012-03-02,179.47999572753906,181.83999633789062,178.9199981689453,179.3000030517578,179.3000030517578,3657800,AMZN,180.6168,195.0399932861328,1.316802978515625,0.0
2012-03-09,186.7899932861328,187.1999969482422,183.44000244140625,184.32000732421875,184.32000732421875,4510600,AMZN,187.81223,202.50999450683594,3.492218017578125,0.0
2012-03-12,184.1300048828125,185.39999389648438,182.1999969482422,183.38999938964844,183.38999938964844,2587600,AMZN,185.43462,198.0500030517578,2.04461669921875,0.0
2012-03-13,183.9199981689453,184.8699951171875,180.77000427246094,184.58999633789062,184.58999633789062,4405800,AMZN,185.8069,199.66000366210938,1.2169036865234375,0.0
2012-03-20,184.8800048828125,194.41000366210938,182.8800048828125,192.3300018310547,192.3300018310547,9165400,AMZN,192.46242,187.97000122070312,0.0,-0.132415771484375
2012-03-21,192.5,194.27999877929688,191.25999450683594,191.72999572753906,191.72999572753906,4214400,AMZN,197.4807,190.69000244140625,0.0,-5.750701904296875
2012-03-29,201.27999877929688,205.30999755859375,200.6300048828125,204.61000061035156,204.61000061035156,5711200,AMZN,203.56374,189.97999572753906,0.0,1.0462646484375
2012-04-09,192.02000427246094,194.1999969482422,190.5,191.8699951171875,191.8699951171875,3135900,AMZN,197.9974,231.8999938964844,6.127410888671875,0.0
2012-04-10,192.75,193.52000427246094,186.57000732421875,186.97999572753906,186.97999572753906,4455000,AMZN,194.88115,230.0399932861328,7.901153564453125,0.0
2012-04-11,189.6300048828125,191.97000122070312,186.7899932861328,187.97000122070312,187.97000122070312,4337800,AMZN,194.08748,230.25,6.1174774169921875,0.0
2012-04-20,192.33999633789062,193.47999572753906,189.8000030517578,189.97999572753906,189.97999572753906,3243600,AMZN,192.50415,227.67999267578128,2.5241546630859375,0.0
2012-04-24,188.67999267578125,190.6999969482422,186.50999450683594,190.3300018310547,190.3300018310547,3376300,AMZN,191.10881,224.38999938964844,0.77880859375,0.0
2012-05-23,214.7100067138672,217.5500030517578,211.17999267578125,217.27999877929688,217.27999877929688,4243800,AMZN,220.63054,214.4499969482422,0.0,-3.3505401611328125
2012-05-25,214.99000549316406,215.97999572753906,212.22000122070312,212.88999938964844,212.88999938964844,2171400,AMZN,218.70993,222.6600036621094,5.8199310302734375,0.0
2012-05-29,214.3000030517578,216.5500030517578,212.2899932861328,214.75,214.75,2693900,AMZN,219.5827,224.02999877929685,4.83270263671875,0.0
2012-06-01,208.44000244140625,211.22999572753906,207.3000030517578,208.22000122070312,208.22000122070312,3951500,AMZN,210.67346,222.16000366210938,2.453460693359375,0.0
2012-06-07,219.64999389648438,221.49000549316406,218.11000061035156,218.8000030517578,218.8000030517578,3503900,AMZN,220.96516,221.30999755859375,2.1651611328125,0.0
2012-06-11,217.49000549316406,220.8699951171875,215.1999969482422,216.5,216.5,3749100,AMZN,218.19745,229.32000732421875,1.69744873046875,0.0
2012-06-13,215.52000427246094,217.3800048828125,213.52000427246094,214.72999572753906,214.72999572753906,2325200,AMZN,217.64093,227.05999755859375,2.9109344482421875,0.0
2012-06-14,215.25999450683594,216.5,212.55999755859375,214.4499969482422,214.4499969482422,3060900,AMZN,216.64493,225.0500030517578,2.1949310302734375,0.0
2012-07-25,222.0,222.5,215.91000366210938,217.0500030517578,217.0500030517578,3646700,AMZN,220.48573,237.4199981689453,3.43572998046875,0.0
2012-07-27,225.25,238.33999633789062,224.5,237.32000732421875,237.32000732421875,11313900,AMZN,234.90344,241.16999816894528,-2.41656494140625,0.0
2012-08-07,234.1300048828125,238.0,233.25,236.55999755859375,236.55999755859375,2058300,AMZN,236.57996,246.11000061035156,0.01995849609375,0.0
2012-08-20,241.3699951171875,241.64999389648438,238.1999969482422,240.35000610351562,240.35000610351562,1889900,AMZN,244.92873,255.6699981689453,4.5787200927734375,0.0
2012-09-07,253.85000610351562,259.4200134277344,253.52000427246094,259.1400146484375,259.1400146484375,5029500,AMZN,262.83124,254.32000732421872,0.0,-3.69122314453125
2012-09-20,260.0299987792969,260.8699951171875,258.0,260.80999755859375,260.80999755859375,2913600,AMZN,268.4047,244.2200012207031,0.0,-7.594696044921875
2012-09-21,261.739990234375,262.0,256.739990234375,257.4700012207031,257.4700012207031,6059300,AMZN,264.96045,242.3600006103516,0.0,-7.490447998046875
2012-09-25,256.3299865722656,258.95001220703125,251.02999877929688,252.4600067138672,252.4600067138672,4405800,AMZN,259.41278,243.94000244140628,0.0,-6.9527740478515625
2012-10-15,242.85000610351562,244.77999877929688,238.50999450683594,244.17999267578125,244.17999267578125,2959800,AMZN,246.26253,232.05999755859375,0.0,-2.0825347900390625
2012-10-26,228.60000610351562,238.7100067138672,226.69000244140625,238.24000549316406,238.24000549316406,11367500,AMZN,232.4929,233.7799987792969,0.0,5.747100830078125
2012-10-31,236.32000732421875,238.6999969482422,230.5,232.88999938964844,232.88999938964844,4797600,AMZN,237.58989,238.0299987792969,4.69989013671875,0.0
2012-11-02,234.00999450683594,237.39999389648438,232.11000061035156,232.4199981689453,232.4199981689453,3374700,AMZN,233.78928,243.61999511718747,1.3692779541015625,0.0
2012-11-13,225.1199951171875,227.89999389648438,224.7100067138672,226.60000610351562,226.60000610351562,2629800,AMZN,230.29633,253.9600067138672,3.696319580078125,0.0
2012-11-23,239.88999938964844,240.0,236.47999572753906,239.8800048828125,239.8800048828125,1776800,AMZN,239.82536,249.19000244140625,-0.0546417236328125,0.0
2012-12-18,254.57000732421875,263.1099853515625,254.57000732421875,260.3999938964844,260.3999938964844,4961000,AMZN,266.53903,265.3399963378906,6.1390380859375,0.0
2012-12-21,257.82000732421875,258.3800048828125,255.74000549316406,256.9200134277344,256.9200134277344,4704600,AMZN,260.4034,271.8999938964844,3.4833984375,0.0
2012-12-26,257.1499938964844,257.4200134277344,248.0399932861328,248.6300048828125,248.6300048828125,4152700,AMZN,258.30988,270.4800109863281,9.67987060546875,0.0
2013-01-03,257.2699890136719,260.8800048828125,256.3699951171875,258.4800109863281,258.4800109863281,2750900,AMZN,265.21817,283.989990234375,6.7381591796875,0.0
2013-01-08,267.07000732421875,268.9800109863281,263.57000732421875,266.3800048828125,266.3800048828125,3010700,AMZN,273.13242,272.760009765625,6.752410888671875,0.0
2013-01-17,271.5,271.9700012207031,269.2099914550781,270.4800109863281,270.4800109863281,1884600,AMZN,277.09354,261.95001220703125,0.0,-6.613525390625
2013-01-23,270.57000732421875,271.0899963378906,266.6499938964844,268.1099853515625,268.1099853515625,2508900,AMZN,274.7869,269.4700012207031,6.676910400390625,0.0
2013-01-24,269.3699951171875,276.6499938964844,269.3699951171875,273.4599914550781,273.4599914550781,3417000,AMZN,277.88068,269.239990234375,0.0,-4.420684814453125
2013-01-25,275.0,284.7200012207031,274.3999938964844,283.989990234375,283.989990234375,4968100,AMZN,287.31998,265.0899963378906,0.0,-3.329986572265625
2013-01-28,283.7799987792969,284.4800109863281,274.3999938964844,276.0400085449219,276.0400085449219,4321400,AMZN,286.473,269.75,0.0,-10.4329833984375
2013-02-07,264.1000061035156,264.1000061035156,255.11000061035156,260.2300109863281,260.2300109863281,3975700,AMZN,263.32492,265.739990234375,3.09490966796875,0.0
2013-02-20,270.20001220703125,274.29998779296875,266.3699951171875,266.4100036621094,266.4100036621094,3528900,AMZN,273.02557,275.1000061035156,6.615570068359375,0.0
2013-03-07,274.1000061035156,274.79998779296875,271.8500061035156,273.8800048828125,273.8800048828125,1939000,AMZN,276.90533,266.489990234375,0.0,-3.02532958984375
